-0.761,-1.2124,-0.10187,-2.3685,-1.0578,-2.2082,0.56384,1.2111,2.2103,0.44456,-1.1824,1.0429,-1.6056,1.3042,1.3718,1.7483,-0.23366,-1.5201,1.1532,0.10368,-0.37208,-0.6153,-0.12568,-2.2719,-0.71836,-1.2969
-0.61785,0.61559,-1.2655,1.8575,-0.91853,-0.055026,-0.3859,1.2952,-1.5684,-0.97026,-2.1833,-2.8503,-2.0773,1.6316,0.34902,1.8279,-2.4417,-0.8563,-0.29826,-2.0795,-1.2933,0.89982,0.28307,2.3118,-2.4644,1.4566
-0.68934,-1.9454,2.0136,-3.1232,-0.23618,1.3868,0.90982,-1.5477,-0.79831,-0.656,0.73538,-2.5859,0.47211,0.55349,2.5126,-2.4167,-1.639,1.2027,-1.2025,-1.8345,-1.8801,-0.34056,0.23692,-1.0614,1.0276,-0.47691
-0.67832,0.46299,0.58492,-0.16502,1.9326,-0.22966,-1.8473,0.49012,1.0715,-3.3191,1.5411,0.37372,-0.86485,-2.5827,0.97062,-0.51022,-0.68428,-1.6471,0.21153,-0.27422,1.726,1.3242,-2.6398,-0.080559,-2.0351,-1.4612
-0.59664,-2.0448,2.057,1.951,0.17638,-2.1614,-0.40395,1.8016,-1.5628,-0.25253,0.23586,0.71657,1.0769,-0.35457,-1.6774,-0.12939,-0.67489,1.1407,1.3243,3.2116,-2.1589,-2.6016,-3.2226,-1.8961,-0.87488,2.5104
-0.87795,0.43441,-0.93161,0.18391,-0.36078,0.61958,0.38625,-2.6515,2.2971,-2.0882,-1.8638,1.0606,0.77562,2.1347,-1.1497,-0.52081,0.99743,-1.4831,-2.3139,0.29517,-0.38705,-2.2061,0.30702,-1.1765,-1.6346,-0.82468
-0.52747,1.2156,-1.501,-2.032,-1.5237,-2.4373,-2.3757,-1.3999,-0.88735,-0.63279,1.5045,-1.5808,0.58599,-0.7754,0.94257,2.1092,0.54479,0.43774,-1.2802,-0.04361,1.4775,-1.1328,-0.72847,0.047347,1.6575,1.6854
-0.74902,-0.72249,-3.1523,0.36578,0.19811,-0.7306,1.6526,-2.3004,-1.8747,0.98095,-1.5883,1.3543,2.179,-1.9924,-2.0037,-0.38861,-2.3399,-2.9172,0.99399,-2.7048,-1.2714,1.8609,-1.2052,-0.38014,0.70872,-2.1101
-0.66655,0.53602,1.3031,-1.0337,-4.0308,0.58173,-2.6572,0.8038,-1.0924,2.4991,0.36201,0.66195,-0.92161,-0.83124,-2.002,-2.949,0.64564,-1.1011,0.7451,0.58507,-1.9955,0.62591,1.806,-0.22309,-1.4044,-2.1319
-0.46089,-1.4394,-1.2181,0.71093,0.45217,-0.35953,0.62285,-0.67005,-0.70691,0.063114,-1.232,-1.7465,-2.7196,-2.2144,-1.6931,-0.90927,0.87852,1.1866,-1.8704,0.39796,1.7211,-1.3693,0.85807,-0.2478,1.2801,-1.3275
